row_number,tstamp,utc_tstmp,year_,month_,day_,hour_,int_dd,egg_pctg,moth_pctg,temp_min,temp_max,temp_avg,humig_pctg_min,humid_pctg_max,humid_pctg_avg,calculated_egg,calculated_moth
1,1.01.2017 00:00,1483228800,2017,1,1,0,0,,,-15.89,-12.99,-14.39,87.51,91.63,89.69,0,0
2,1.01.2017 01:00,1483232400,2017,1,1,1,0,,,-15.01,-13.46,-14.11,87.75,90.56,89.17,0,0
3,1.01.2017 02:00,1483236000,2017,1,1,2,0,,,-17.11,-15.17,-16.39,85.51,88.25,87.04,0,0
4,1.01.2017 03:00,1483239600,2017,1,1,3,0,,,-16.65,-15.47,-15.97,86.56,87.81,87.22,0,0
5,1.01.2017 04:00,1483243200,2017,1,1,4,0,,,-15.09,-13.28,-13.99,88.1,89.5,88.85,0,0
6,1.01.2017 05:00,1483246800,2017,1,1,5,0,,,-13.52,-12.5,-13.01,88.49,90.02,89.29,0,0
7,1.01.2017 06:00,1483250400,2017,1,1,6,0,,,-13.3,-11.93,-12.35,89.3,90.75,90.12,0,0
8,1.01.2017 07:00,1483254000,2017,1,1,7,0,,,-11.77,-11.25,-11.45,90.45,91.12,90.79,0,0
9,1.01.2017 08:00,1483257600,2017,1,1,8,0,,,-11.16,-9.81,-10.4,91.12,92.3,91.71,0,0
10,1.01.2017 09:00,1483261200,2017,1,1,9,0,,,-9.61,-8.62,-9.03,91.39,92.38,91.87,0,0
11,1.01.2017 10:00,1483264800,2017,1,1,10,0,,,-8.24,-6.86,-7.52,90.8,92.55,91.74,0,0
12,1.01.2017 11:00,1483268400,2017,1,1,11,0,,,-6.86,-4.5,-5.86,90.69,92.85,91.7,0,0
13,1.01.2017 12:00,1483272000,2017,1,1,12,0,,,-4.9,-4.17,-4.47,85.54,92.24,88.94,0,0
14,1.01.2017 13:00,1483275600,2017,1,1,13,0,,,-3.9,-1.41,-2.31,79.74,86.5,82.22,0,0
15,1.01.2017 14:00,1483279200,2017,1,1,14,0,,,-2.27,-1.19,-1.67,75.1,80.41,77.53,0,0
16,1.01.2017 15:00,1483282800,2017,1,1,15,0,,,-2.66,-1.76,-2.19,76.88,79.64,78.23,0,0
17,1.01.2017 16:00,1483286400,2017,1,1,16,0,,,-4.4,-2.17,-3.19,77.37,85.98,81.36,0,0
18,1.01.2017 17:00,1483290000,2017,1,1,17,0,,,-5.24,-4.41,-4.85,87.06,89.32,88.17,0,0
19,1.01.2017 18:00,1483293600,2017,1,1,18,0,,,-5.08,-4.54,-4.77,88.2,89.77,88.81,0,0
20,1.01.2017 19:00,1483297200,2017,1,1,19,0,,,-4.81,-4.49,-4.63,87.44,88.78,87.98,0,0
